id,conducted_by,recruitment_source,group,q1,q2,q3,library_exp,self_est_prog_exp,yrs_prog_weekly,yrs_prog,major_occupation,helpful_exp,feedback_improvement,feedback_other,recruitment_source_detail,beautiful_soup,numpy,pandas,matplotlib,pytorch,flask,nltk,time,interface,task1,task2,task3,taskStart1,taskStart2,taskStart3,taskEnd1,taskEnd2,taskEnd3,timesRan1,timesRan2,timesRan3,timesUsed1,timesUsed2,timesUsed3,taskCompletion1,taskCompletion2,taskCompletion3,taskAnswer1,taskAnswer2,taskAnswer3,delete,taskTime1,taskTime2,taskTime3,correct1,correct2,correct3
121,Jacob,other,highlighting,"['Apple', 'Orange', 'Pineapple']","[0, 1, 2, 3, 4]","[1, 0, 1, 0, 0]","NumPy,Pandas",3,1,2,"student, major is economics",,,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1.72574E+12,highlighting,where,convolve,minmax,1.72574E+12,1.72574E+12,1.72574E+12,1.72574E+12,1.72574E+12,1.72574E+12,4,12,3,10,10,3,answered,answered,answered,"x = tf.constant([5, 2, 20, 15, 32, 100])
new_x = tf.where(
  tf.boolean_mask(x, x % 5 == 0) % 10 == 0,
  tf.square(tf.boolean_mask(x, x % 5 == 0)),
  tf.boolean_mask(x, x % 5 == 0)
)
print(new_x)","x = tf.constant([4, 12, 8, 8])
new_x = tf.squeeze(
  tf.nn.conv1d(
    tf.reshape(x, [1, int(x.shape[0]), 1]),
    tf.constant([[[2]], [[1]]]),
    1,
    'VALID'
  )
)
print(new_x)","x = tf.constant(
  [[1, 2, 3],
  [101, 102, 103],
  [11, 12, 13]]
)
new_x = tf.math.reduce_max(
  tf.math.reduce_min(
    tf.boolean_mask(x, tf.range(len(x)) % 2 == 0),
    axis=1
  )
)
print(new_x)",FALSE,487470,409349,301380,FALSE,TRUE,TRUE
122,Jacob,other,highlighting,"[""Apple"", ""Orange"", ""Pineapple""]","[0, 1, 2, 3, 4]","[1, 0, 1, 0, 0]","Beautiful Soup,Flask,NLTK,NumPy,Pandas,Matplotlib",8,10 or more years,10 or more years ago,Student in Computer Science,,,,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,1.72574E+12,highlighting,where,convolve,minmax,1.72574E+12,1.72574E+12,1.72575E+12,1.72574E+12,1.72575E+12,1.72575E+12,45,22,26,14,7,7,answered,answered,answered,"x = tf.constant([5, 2, 20, 15, 32, 100])
#new_x = tf.where(
  #tf.boolean_mask(x, (x % 5 == 0)),
  #tf.square(tf.boolean_mask(x, (x % 10 !== 0))),
  #tf.boolean_mask(x, (x % 2 == 0))
#)
#print(new_x)

y = [5, 2, 20, 15, 32, 100]
z = []
for i in y:
  if (i % 5 == 0):
     if (i % 10 != 0):
       z.append(i ** 2)
     else:
       z.append(i)

fake_x = tf.constant(z)
print(fake_x)
","x = tf.constant([4, 12, 8, 8])
new_x = tf.squeeze(
  tf.nn.conv1d(
    tf.reshape(x, [1, int(x.shape[0]), 1]),
    tf.constant([[[2]], [[1]]]),
    1,
    'VALID'
  )
)
print(new_x)
","x = tf.constant(
  [[1, 2, 3],
  [101, 102, 103],
  [11, 12, 13]]
)
new_x = tf.math.reduce_max(
  tf.math.reduce_min(
    tf.boolean_mask(x, tf.range(len(x)) % 2 == 0),
    axis=1
  )
)
print(new_x)",FALSE,2327384,907492,514532,FALSE,TRUE,TRUE
123,Jacob,other,highlighting,"[Ã¢â‚¬Å“AppleÃ¢â‚¬Â, Ã¢â‚¬Å“OrangeÃ¢â‚¬Â, Ã¢â‚¬Å“PineappleÃ¢â‚¬Â]","[0, 1, 2, 3, 4]","[1, 0, 1, 0, 0]","Beautiful Soup,NumPy,Matplotlib,PyTorch",9,10 or more years,10 or more years ago,CS Graduate Student,,,,,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,1.72576E+12,highlighting,where,convolve,minmax,1.72576E+12,1.72576E+12,1.72576E+12,1.72576E+12,1.72576E+12,1.72576E+12,4,23,15,7,3,0,answered,answered,answered,"x = tf.constant([5, 2, 20, 15, 32, 100])
new_x = tf.where(
  tf.boolean_mask(x, x % 5 == 0) % 10 != 0,
  tf.square(tf.boolean_mask(x, x % 5 == 0)),
  tf.boolean_mask(x, x % 5 == 0)
)
print(new_x)","x = tf.constant([4, 12, 8, 8])
new_x = tf.squeeze(
  tf.nn.conv1d(
    tf.reshape(x, [1, int(x.shape[0]), 1]),
    tf.constant([[[0]], [[2]], [[1]]]),
    1,
    'SAME'
  )
)[:-1]
print(new_x)","x = tf.constant(
  [[1, 2, 3],
  [101, 102, 103],
  [11, 12, 13]]
)
new_x = tf.math.reduce_max(
  tf.math.reduce_min(
    tf.boolean_mask(x, tf.range(len(x)) % 2 == 0),
    axis=1
  )
)
print(new_x)",FALSE,465607,599815,281678,TRUE,TRUE,TRUE
124,Jacob,other,highlighting,"['Apple', 'Orange', 'Pineapple']","[0, 1, 2, 3, 4]","[1, 0, 1, 0, 0]",NumPy,5,Less than 1 year,Less than 1 year ago,math major student,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1.72582E+12,highlighting,where,convolve,minmax,1.72582E+12,1.72582E+12,1.72582E+12,1.72582E+12,1.72582E+12,1.72582E+12,10,2,5,3,2,4,answered,answered,answered,"x = tf.constant([5, 2, 20, 15, 32, 100])
new_x = tf.where(
  tf.boolean_mask(x, x % 5 == 0) % 10 == 0,
  tf.square(tf.boolean_mask(x, x % 5 == 0)),
  tf.boolean_mask(x, x % 5 == 0)
)
print(new_x)","x = tf.constant([4, 12, 8, 8])
new_x = tf.squeeze(
  tf.nn.conv1d(
    tf.reshape(x, [1, int(x.shape[0]), 1]),
    tf.constant([[[2]], [[1]]]),
    1,
    'VALID'
  )
)
print(new_x)","x = tf.constant(
  [[1, 2, 3],
  [101, 102, 103],
  [11, 12, 13]]
)
new_x = tf.math.reduce_max(
  tf.math.reduce_min(
    tf.boolean_mask(x, tf.range(len(x)) % 2 == 0),
    axis=1
  )
)
print(new_x)",FALSE,515870,188962,160215,FALSE,TRUE,TRUE
125,Jacob,other,highlighting,"['Apple', 'Orange', 'Pineapple']","[0, 1, 2, 3, 4]","[1, 0, 1, 0, 0]","Beautiful Soup, Flask, NLTK, NumPy, Pandas, Matplotlib",7,2,3,Computer Science,"Numpy, Matplotlib",,,Friend,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,1.72591E+12,highlighting,where,convolve,minmax,1.72591E+12,1.72591E+12,1.72591E+12,1.72591E+12,1.72591E+12,1.72591E+12,25,15,24,17,17,23,answered,answered,answered,"x = tf.constant([5, 2, 20, 15, 32, 100])
new_x = tf.where(
  ((tf.boolean_mask(x, ((x % 5) == 0)) % 10) == 5),
  tf.square(tf.boolean_mask(x, ((x % 5) == 0))),
  tf.boolean_mask(x, ((x % 5) == 0))
)
print(new_x)","x = tf.constant([4, 12, 8, 8])
new_x = tf.squeeze(
  tf.nn.conv1d(
    tf.reshape(x, [1, int(x.shape[0]), 1]),
    tf.constant([[[2]], [[1]]]),
    1,
    'VALID'
  )
)
print(new_x)","x = tf.constant(
  [[1, 2, 3],
  [101, 102, 103],
  [11, 12, 13]]
)
new_x = tf.math.reduce_max(
  tf.math.reduce_min(
    tf.boolean_mask(x, tf.range(len(x)) % 2 == 0),
    axis=1
  )
)
print(new_x)",FALSE,2102372,961575,1096510,TRUE,TRUE,TRUE
126,Jacob,other,highlighting,"[""Apple"", ""Orange"", ""Pineapple""]","[0, 1, 2, 3, 4]","[1, 0, 1, 0, 0]","Flask,NumPy,Pandas,Matplotlib,PyTorch",4,3,4,EECS/Stats,,,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1.72598E+12,highlighting,where,convolve,minmax,1.72599E+12,1.72599E+12,1.72599E+12,1.72599E+12,1.72599E+12,1.72599E+12,17,1,11,1,9,0,answered,skipped,answered,"x = tf.constant([5, 2, 20, 15, 32, 100])
new_x = tf.where((x % 5 == 0) & (x % 10 != 0), tf.square(x), x
)
new_x = tf.boolean_mask(new_x, x % 5 == 0)
print(new_x)","x = tf.constant([4, 12, 8, 8])
new_x = tf.squeeze(
  tf.nn.conv1d(
    tf.reshape(x, [1, int(x.shape[0]), 1]),
    tf.constant([[[1]], [[1]], [[1]]]),
    1,
    'VALID'
  )
)
print(new_x)","x = tf.constant(
  [[1, 2, 3],
  [101, 102, 103],
  [11, 12, 13]]
)
new_x = tf.math.reduce_max(
  tf.math.reduce_min(
    tf.boolean_mask(x, tf.range(len(x)) % 2 == 0),
    axis=1
  )
)
print(new_x)",FALSE,712705,432892,356081,TRUE,,TRUE
127,Jacob,xlab,highlighting,"[""Apple"", ""Orange"", ""Pineapple""]","[0, 1, 2, 3, 4]","[1, 0, 1, 0, 0]","NumPy,Pandas",5,2,5,Software Engineer,,,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1.72599E+12,highlighting,where,convolve,minmax,1.72599E+12,1.72599E+12,1.72599E+12,1.72599E+12,1.72599E+12,1.72599E+12,3,86,9,1,18,8,answered,skipped,answered,"x = tf.constant([5, 2, 20, 15, 32, 100])
new_x = tf.where(
  tf.boolean_mask(x, x % 5 == 0) % 10 == 0,
  tf.boolean_mask(x, x % 5 == 0),
  tf.square(tf.boolean_mask(x, x % 5 == 0))
  
)
print(new_x)","x = tf.constant([4, 12, 8, 8])
new_x = tf.squeeze(
  tf.nn.conv1d(
    tf.reshape(x, [1, int(x.shape[0]), 1]),
    tf.constant([[[1]], [[2]]]),
    1,
    'VALID'
  )
)
print(new_x)

","x = tf.constant(
  [[1, 2, 3],
  [101, 102, 103],
  [11, 12, 13]]
)
new_x = tf.math.reduce_max(
  tf.math.reduce_min(
    tf.boolean_mask(x, tf.range(len(x)) % 2 == 0),
    axis=1
  )
)
print(new_x)",FALSE,416119,2467103,296151,TRUE,,TRUE
128,Jacob,other,highlighting,"[â€œAppleâ€, â€œOrangeâ€, â€œPineappleâ€]","[0, 1, 2, 3, 4]","[1, 0, 1, 0, 0]","Beautiful Soup,NumPy,Pandas,Matplotlib,PyTorch",7,4,7,Mathematics of Computation,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1.726E+12,highlighting,where,convolve,minmax,1.726E+12,1.726E+12,1.726E+12,1.726E+12,1.726E+12,1.726E+12,9,7,11,6,10,7,answered,answered,answered,"x = tf.constant([5, 2, 20, 15, 32, 100])
new_x = tf.where(
  tf.boolean_mask(x, x % 5 == 0) % 10 != 0,
  tf.square(tf.boolean_mask(x, x % 10 != 0)),
  tf.boolean_mask(x, x % 5 == 0)
)
print(new_x)","x = tf.constant([4, 12, 8, 8])
new_x = tf.squeeze(
  tf.nn.conv1d(
    tf.reshape(x, [1, int(x.shape[0]), 1]),
    tf.constant([[[2]], [[1]]]),
    1,
    'VALID'
  )
)
print(new_x)","x = tf.constant(
  [[1, 2, 3],
  [101, 102, 103],
  [11, 12, 13]]
)
new_x = tf.math.reduce_max(
  tf.math.reduce_min(
    tf.boolean_mask(x, tf.range(len(x)) % 2 == 0),
    axis=1
  )
)
print(new_x)",FALSE,532161,332826,296489,FALSE,TRUE,TRUE
129,Jacob,xlab,highlighting,"[""Apple"", ""Orange"", ""Pineapple""]","[0, 1, 2, 3, 4]","[1, 0, 1, 0, 0]",NumPy,7,4,5,My major is undecided.,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1.72601E+12,highlighting,where,convolve,minmax,1.72601E+12,1.72601E+12,1.72601E+12,1.72601E+12,1.72601E+12,1.72601E+12,10,19,15,18,33,24,answered,answered,answered,"x = tf.constant([5, 2, 20, 15, 32, 100])
new_x = tf.where(
  tf.boolean_mask(x, x % 5 == 0) % 10 != 0,
  tf.square(tf.boolean_mask(x, x % 5 == 0)),
  tf.boolean_mask(x, x % 5 == 0)
)
print(new_x)","x = tf.constant([4, 12, 8, 8])
new_x = tf.squeeze(
  tf.nn.conv1d(
    tf.reshape(x, [1, int(x.shape[0]), 1]),
    tf.constant([[[2]], [[1]]]),
    1,
    'VALID'
  )
)
print(new_x)","x = tf.constant(
  [[1, 2, 3],
  [101, 102, 103],
  [11, 12, 13]]
)
new_x = tf.math.reduce_max(
  tf.math.reduce_min(
    tf.boolean_mask(x, tf.range(len(x)) % 2 == 0),
    axis=1
  )
)
print(new_x)",FALSE,607118,670666,513087,TRUE,TRUE,TRUE
130,Jacob,other,highlighting,[Apple Orange Pineapple],[0 1 2 3 4],[1 0 1 0 0],"NumPy,Pandas",5,2,9,"Student, Genetics and Plant Biology",,,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1.72602E+12,highlighting,where,convolve,minmax,1.72602E+12,1.72602E+12,1.72602E+12,1.72602E+12,1.72602E+12,1.72602E+12,43,26,7,9,11,8,skipped,answered,answered,"x = tf.constant([5, 2, 20, 15, 32, 100])
new_x = tf.where(
  tf.boolean_mask(x, x % 5 == 0) % 10 == 0,     # 1. divisible by both 5 and 10
  tf.square(tf.boolean_mask(x, x % 5 == 0) % 10 > 0),   # 2. divisible by 5 
  tf.boolean_mask(x, x % 5 == 0    #3.         
))
print(new_x)

## mask = dr




##x = tf.constant([5, 2, 20, 15, 32, 100])
##new_x = tf.where(
##  tf.boolean_mask(x, x % 5 == 0) % 10 == 0,     # 1. divisible by both 5 and 10
##  tf.square(tf.boolean_mask(x, x % 5 == 0)),   # 2. divisible by 5 
##  tf.boolean_mask(x, x % 5 == 0    #3.         
##))
##print(new_x)



[5, 400, 15, 10000]","



x = tf.constant([4, 12, 8, 8])
new_x = tf.squeeze(
  tf.nn.conv1d(
    tf.reshape(x, [1, int(x.shape[0]), 1]),
    tf.constant([[[2]], [[1]]]),
    1,
    'VALID'
  )
)
print(new_x)

## [24, 28] 

## >>> 2x[0] + x[1]  ,  2x[1] + x[2], .....  

## squeeze - removes vals with given cond
##  nn.conv1d - 


[1, 4, 1]
","x = tf.constant(
  [[1, 2, 3],
  [101, 102, 103],
  [11, 12, 13]]
)
new_x = tf.math.reduce_max(
  tf.math.reduce_min(
    tf.boolean_mask(x, tf.range(len(x)) % 2 == 0),
    axis=1
  )
)
print(new_x)",FALSE,1600045,1150665,454728,,TRUE,TRUE
131,Jacob,other,highlighting,"[""Apple"", ""Orange"", ""Pineapple""]","[0, 1, 2, 3, 4]","[1, 0, 1, 0, 0]","NumPy, Pandas, Matplotlib",8,10 or more years,10 or more years ago,software engineer,I think the most helpful thing was having seen examples of what the program was trying to do. I think in particular already knowing what 1-d convolution was helped a lot because the code translation was pretty opaque,more helpful variable names,,My wife took it and sent me the signup form,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1.72608E+12,highlighting,where,convolve,minmax,1.72608E+12,1.72608E+12,1.72608E+12,1.72608E+12,1.72608E+12,1.72608E+12,2,5,3,3,2,10,answered,answered,answered,"x = tf.constant([5, 2, 20, 15, 32, 100])
new_x = tf.where(
  tf.boolean_mask(x, x % 5 == 0) % 10 != 0,
  tf.square(tf.boolean_mask(x, x % 5 == 0)),
  tf.boolean_mask(x, x % 5 == 0)
)
print(new_x)","x = tf.constant([4, 12, 8, 8])
new_x = tf.squeeze(
  tf.nn.conv1d(
    tf.reshape(x, [1, int(x.shape[0]), 1]),
    tf.constant([[[2]], [[1]]]),
    1,
    'VALID'
  )
)
print(new_x)

# new_x = tf.squeeze(
#  tf.nn.conv1d(
#    tf.reshape(x, [1, int(x.shape[0]), 1]),
#    tf.constant([[[1]], [[1]], [[1]]]),
#    1,
#    'VALID'
#  )
#)","x = tf.constant(
  [[1, 2, 3],
  [101, 102, 103],
  [11, 12, 13]]
)
new_x = tf.math.reduce_max(
  tf.math.reduce_min(
    tf.boolean_mask(x, tf.range(len(x)) % 2 == 0),
    axis=1
  )
)
print(new_x)",FALSE,420329,647976,447481,TRUE,TRUE,TRUE
